event_id,case_id,internal_id,actor,activity,timestamp,bot_label,tool_source,catalyst_case_id,catalyst_message_id,catalyst_activity,catalyst_message_ts
44,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,7,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-05-30T01:03:42.774758,,,,,,
45,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,8,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-05-30T01:03:42.774758,,,,,,
46,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,9,human,SOLICITAÇÃO DE NOVA TENTATIVA DE SOLUÇÃO,2026-05-30T01:06:19.162980,,,,,,
47,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,10,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-05-30T01:06:19.162980,,,,,,
48,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,11,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-05-30T01:08:35.168504,,,,,,
49,003e3aa3-ca97-47f6-9f62-bec90a45ac9a,99999,System,END-DIALOGUE-SYSTEM,2026-05-30T01:08:35.168504,,,,,,
50,0042c01a-86ba-43b6-8966-4fb33b534af3,-1,System,START-DIALOGUE-SYSTEM,2026-07-09T19:19:08.891837,,,,,,
51,0042c01a-86ba-43b6-8966-4fb33b534af3,0,ai,APRESENTAÇÃO DO CHATBOT,2026-07-09T19:19:08.891837,,,,,,
52,0042c01a-86ba-43b6-8966-4fb33b534af3,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-09T19:23:21.300465,,,,,,
53,0042c01a-86ba-43b6-8966-4fb33b534af3,2,ai,APRESENTAÇÃO DO CHATBOT,2026-07-09T19:23:21.300465,,,,,,
54,0042c01a-86ba-43b6-8966-4fb33b534af3,3,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-09T19:27:29.888007,,,,,,
55,0042c01a-86ba-43b6-8966-4fb33b534af3,4,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-09T19:27:29.888007,,,,,,
56,0042c01a-86ba-43b6-8966-4fb33b534af3,5,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-09T19:31:27.039584,,,,,,
57,0042c01a-86ba-43b6-8966-4fb33b534af3,6,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-09T19:31:27.039584,,,,,,
58,0042c01a-86ba-43b6-8966-4fb33b534af3,7,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-07-09T19:35:21.839554,,,,,,
59,0042c01a-86ba-43b6-8966-4fb33b534af3,8,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-09T19:35:21.839554,,,,,,
60,0042c01a-86ba-43b6-8966-4fb33b534af3,9,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-07-09T19:38:27.460792,,,,,,
61,0042c01a-86ba-43b6-8966-4fb33b534af3,10,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-09T19:38:27.460792,,,,,,
62,0042c01a-86ba-43b6-8966-4fb33b534af3,11,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-09T19:41:33.894985,,,,,,
63,0042c01a-86ba-43b6-8966-4fb33b534af3,12,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-09T19:41:33.894985,,,,,,
64,0042c01a-86ba-43b6-8966-4fb33b534af3,13,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-09T19:44:49.041062,,,,,,
65,0042c01a-86ba-43b6-8966-4fb33b534af3,14,ai,RECOMENDAÇÃO DE SEGURANÇA,2026-07-09T19:44:49.041062,,,,,,
66,0042c01a-86ba-43b6-8966-4fb33b534af3,15,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-09T19:47:54.217919,,,,,,
67,0042c01a-86ba-43b6-8966-4fb33b534af3,16,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-09T19:47:54.217919,,,,,,
68,0042c01a-86ba-43b6-8966-4fb33b534af3,17,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-07-09T19:50:43.599560,,,,,,
69,0042c01a-86ba-43b6-8966-4fb33b534af3,18,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-09T19:50:43.599560,,,,,,
70,0042c01a-86ba-43b6-8966-4fb33b534af3,19,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-09T19:53:25.055212,,,,,,
71,0042c01a-86ba-43b6-8966-4fb33b534af3,99999,System,END-DIALOGUE-SYSTEM,2026-07-09T19:53:25.055212,,,,,,
72,004befde-330d-4451-a558-696b489d8c90,-1,System,START-DIALOGUE-SYSTEM,2026-05-30T14:45:34.353945,,,,,,
73,004befde-330d-4451-a558-696b489d8c90,0,ai,APRESENTAÇÃO DO CHATBOT,2026-05-30T14:45:34.353945,,,,,,
74,004befde-330d-4451-a558-696b489d8c90,1,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-05-30T14:48:08.959930,,,,,,
75,004befde-330d-4451-a558-696b489d8c90,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-05-30T14:48:08.959930,,,,,,
76,004befde-330d-4451-a558-696b489d8c90,3,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-05-30T14:50:39.633179,,,,,,
77,004befde-330d-4451-a558-696b489d8c90,4,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-05-30T14:50:39.633179,,,,,,
78,004befde-330d-4451-a558-696b489d8c90,5,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-05-30T14:53:33.659319,,,,,,
79,004befde-330d-4451-a558-696b489d8c90,6,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-05-30T14:53:33.659319,,,,,,
80,004befde-330d-4451-a558-696b489d8c90,7,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-05-30T14:55:43.259101,,,,,,
81,004befde-330d-4451-a558-696b489d8c90,99999,System,END-DIALOGUE-SYSTEM,2026-05-30T14:55:43.259101,,,,,,
82,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,-1,System,START-DIALOGUE-SYSTEM,2026-08-01T06:41:56.420544,,,,,,
83,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,0,ai,APRESENTAÇÃO DO CHATBOT,2026-08-01T06:41:56.420544,,,,,,
84,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,1,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-08-01T06:44:49.442151,,,,,,
85,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,2,ai,RECOMENDAÇÃO DE SEGURANÇA,2026-08-01T06:44:49.442151,,,,,,
86,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,3,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-08-01T06:47:37.649912,,,,,,
87,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,4,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-08-01T06:47:37.649912,,,,,,
88,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,5,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-08-01T06:50:16.563296,,,,,,
89,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,6,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-08-01T06:50:16.563296,,,,,,
90,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,7,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-08-01T06:53:10.032082,,,,,,
91,00587d48-6f7e-460f-9ffa-f7a4e5e337e0,99999,System,END-DIALOGUE-SYSTEM,2026-08-01T06:53:10.032082,,,,,,
92,0080973c-b171-47d0-8e72-78496a397ac9,-1,System,START-DIALOGUE-SYSTEM,2026-07-04T04:26:17.653161,,,,,,
93,0080973c-b171-47d0-8e72-78496a397ac9,0,ai,APRESENTAÇÃO DO CHATBOT,2026-07-04T04:26:17.653161,,,,,,
94,0080973c-b171-47d0-8e72-78496a397ac9,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-04T04:28:32.864649,,,,,,
95,0080973c-b171-47d0-8e72-78496a397ac9,2,ai,RESPOSTA DE INFORMAÇÕES SOLICITADAS,2026-07-04T04:28:32.864649,,,,,,
96,0080973c-b171-47d0-8e72-78496a397ac9,3,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-04T04:30:49.627450,,,,,,
97,0080973c-b171-47d0-8e72-78496a397ac9,99999,System,END-DIALOGUE-SYSTEM,2026-07-04T04:30:49.627450,,,,,,
98,009aaec8-b3ff-4f3d-841e-ad0f0e1a500b,-1,System,START-DIALOGUE-SYSTEM,2026-06-03T01:46:25.111730,,,,,,
99,009aaec8-b3ff-4f3d-841e-ad0f0e1a500b,0,ai,APRESENTAÇÃO DO CHATBOT,2026-06-03T01:46:25.111730,,,,,,
100,009aaec8-b3ff-4f3d-841e-ad0f0e1a500b,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-06-03T01:48:48.502428,,,,,,
101,009aaec8-b3ff-4f3d-841e-ad0f0e1a500b,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-03T01:48:48.502428,,,,,,
102,009aaec8-b3ff-4f3d-841e-ad0f0e1a500b,3,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-06-03T01:51:20.047663,,,,,,
103,009aaec8-b3ff-4f3d-841e-ad0f0e1a500b,4,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-06-03T01:51:20.047663,,,,,,
104,009aaec8-b3ff-4f3d-841e-ad0f0e1a500b,5,human,FEEDBACK DO USUÁRIO,2026-06-03T01:52:55.918837,,,,,,
105,009aaec8-b3ff-4f3d-841e-ad0f0e1a500b,99999,System,END-DIALOGUE-SYSTEM,2026-06-03T01:52:55.918837,,,,,,
106,00a3cdb5-e157-4888-ae51-3883d3857e2e,-1,System,START-DIALOGUE-SYSTEM,2026-08-02T21:56:27.904380,,,,,,
107,00a3cdb5-e157-4888-ae51-3883d3857e2e,0,ai,APRESENTAÇÃO DO CHATBOT,2026-08-02T21:56:27.904380,,,,,,
108,00a3cdb5-e157-4888-ae51-3883d3857e2e,1,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-08-02T22:08:19.273754,,,,,,
109,00a3cdb5-e157-4888-ae51-3883d3857e2e,2,ai,RECOMENDAÇÃO DE SEGURANÇA,2026-08-02T22:08:19.273754,,,,,,
110,00a3cdb5-e157-4888-ae51-3883d3857e2e,3,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-08-02T22:21:34.067691,,,,,,
111,00a3cdb5-e157-4888-ae51-3883d3857e2e,4,ai,RESPOSTA DE INFORMAÇÕES SOLICITADAS,2026-08-02T22:21:34.067691,,,,,,
112,00a3cdb5-e157-4888-ae51-3883d3857e2e,5,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-08-02T22:31:21.660354,,,,,,
113,00a3cdb5-e157-4888-ae51-3883d3857e2e,6,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-08-02T22:31:21.660354,,,,,,
114,00a3cdb5-e157-4888-ae51-3883d3857e2e,7,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-08-02T22:42:19.305066,,,,,,
115,00a3cdb5-e157-4888-ae51-3883d3857e2e,99999,System,END-DIALOGUE-SYSTEM,2026-08-02T22:42:19.305066,,,,,,
116,00b28ea9-31bb-47e2-82b0-bb9568839b9a,-1,System,START-DIALOGUE-SYSTEM,2026-07-23T18:00:15.206498,,,,,,
117,00b28ea9-31bb-47e2-82b0-bb9568839b9a,0,ai,APRESENTAÇÃO DO CHATBOT,2026-07-23T18:00:15.206498,,,,,,
118,00b28ea9-31bb-47e2-82b0-bb9568839b9a,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-23T18:01:09.665691,,,,,,
119,00b28ea9-31bb-47e2-82b0-bb9568839b9a,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-23T18:01:09.665691,,,,,,
120,00b28ea9-31bb-47e2-82b0-bb9568839b9a,3,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-07-23T18:02:23.341949,,,,,,
121,00b28ea9-31bb-47e2-82b0-bb9568839b9a,99999,System,END-DIALOGUE-SYSTEM,2026-07-23T18:02:23.341949,,,,,,
122,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,-1,System,START-DIALOGUE-SYSTEM,2026-06-02T09:35:59.345681,,,,,,
123,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,0,ai,APRESENTAÇÃO DO CHATBOT,2026-06-02T09:35:59.345681,,,,,,
124,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-06-02T09:37:12.529502,,,,,,
125,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,2,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-06-02T09:37:12.529502,,,,,,
126,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,3,human,SOLICITAÇÃO DE NOVA TENTATIVA DE SOLUÇÃO,2026-06-02T09:38:47.288665,,,,,,
127,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,4,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-06-02T09:38:47.288665,,,,,,
128,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,5,human,SOLICITAÇÃO DE NOVA TENTATIVA DE SOLUÇÃO,2026-06-02T09:40:08.223757,,,,,,
129,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,6,ai,SOLICITAÇÃO DE ESCLARECIMENTO DE INTENÇÃO,2026-06-02T09:40:08.223757,,,,,,
130,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,7,human,REJEIÇÃO DA SOLUÇÃO,2026-06-02T09:40:55.481331,,,,,,
131,00b49ea9-b5d2-41f5-b7f6-36a1f128c61f,99999,System,END-DIALOGUE-SYSTEM,2026-06-02T09:40:55.481331,,,,,,
132,00ccffb4-2f28-4b1e-80fb-8e166c7d6071,-1,System,START-DIALOGUE-SYSTEM,2026-07-23T20:10:10.726300,,,,,,
133,00ccffb4-2f28-4b1e-80fb-8e166c7d6071,0,ai,APRESENTAÇÃO DO CHATBOT,2026-07-23T20:10:10.726300,,,,,,
134,00ccffb4-2f28-4b1e-80fb-8e166c7d6071,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-23T20:12:18.436177,,,,,,
135,00ccffb4-2f28-4b1e-80fb-8e166c7d6071,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-23T20:12:18.436177,,,,,,
136,00ccffb4-2f28-4b1e-80fb-8e166c7d6071,3,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-23T20:14:49.246522,,,,,,
137,00ccffb4-2f28-4b1e-80fb-8e166c7d6071,4,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-07-23T20:14:49.246522,,,,,,
138,00ccffb4-2f28-4b1e-80fb-8e166c7d6071,5,human,REJEIÇÃO DA SOLUÇÃO,2026-07-23T20:16:42.345406,,,,,,
139,00ccffb4-2f28-4b1e-80fb-8e166c7d6071,99999,System,END-DIALOGUE-SYSTEM,2026-07-23T20:16:42.345406,,,,,,
140,00da9176-a675-42e2-84f1-f531477f7ac0,-1,System,START-DIALOGUE-SYSTEM,2026-07-29T21:41:45.836580,,,,,,
141,00da9176-a675-42e2-84f1-f531477f7ac0,0,ai,APRESENTAÇÃO DO CHATBOT,2026-07-29T21:41:45.836580,,,,,,
142,00da9176-a675-42e2-84f1-f531477f7ac0,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-07-29T21:44:55.050857,,,,,,
143,00da9176-a675-42e2-84f1-f531477f7ac0,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-07-29T21:44:55.050857,,,,,,
144,00da9176-a675-42e2-84f1-f531477f7ac0,3,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-07-29T21:47:45.612482,,,,,,
145,00da9176-a675-42e2-84f1-f531477f7ac0,99999,System,END-DIALOGUE-SYSTEM,2026-07-29T21:47:45.612482,,,,,,
146,00e90755-bc54-4efa-b096-21adf93f409e,-1,System,START-DIALOGUE-SYSTEM,2026-06-25T09:00:01.599269,,,,,,
147,00e90755-bc54-4efa-b096-21adf93f409e,0,ai,APRESENTAÇÃO DO CHATBOT,2026-06-25T09:00:01.599269,,,,,,
148,00e90755-bc54-4efa-b096-21adf93f409e,1,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-06-25T09:01:05.423522,,,,,,
149,00e90755-bc54-4efa-b096-21adf93f409e,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-25T09:01:05.423522,,,,,,
150,00e90755-bc54-4efa-b096-21adf93f409e,3,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-06-25T09:02:25.480472,,,,,,
151,00e90755-bc54-4efa-b096-21adf93f409e,4,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-25T09:02:25.480472,,,,,,
152,00e90755-bc54-4efa-b096-21adf93f409e,5,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-06-25T09:03:57.268347,,,,,,
153,00e90755-bc54-4efa-b096-21adf93f409e,6,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-25T09:03:57.268347,,,,,,
154,00e90755-bc54-4efa-b096-21adf93f409e,7,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-06-25T09:05:29.234543,,,,,,
155,00e90755-bc54-4efa-b096-21adf93f409e,8,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-25T09:05:29.234543,,,,,,
156,00e90755-bc54-4efa-b096-21adf93f409e,9,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-06-25T09:06:55.946321,,,,,,
157,00e90755-bc54-4efa-b096-21adf93f409e,10,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-25T09:06:55.946321,,,,,,
158,00e90755-bc54-4efa-b096-21adf93f409e,11,human,SOLICITAÇÃO DE CANAL ALTERNATIVO,2026-06-25T09:08:04.033657,,,,,,
159,00e90755-bc54-4efa-b096-21adf93f409e,99999,System,END-DIALOGUE-SYSTEM,2026-06-25T09:08:04.033657,,,,,,
160,00eecaad-e8b7-46ca-88a2-ceab1705b32e,-1,System,START-DIALOGUE-SYSTEM,2026-06-11T15:35:23.273793,,,,,,
161,00eecaad-e8b7-46ca-88a2-ceab1705b32e,0,ai,APRESENTAÇÃO DO CHATBOT,2026-06-11T15:35:23.273793,,,,,,
162,00eecaad-e8b7-46ca-88a2-ceab1705b32e,1,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-06-11T15:37:08.392529,,,,,,
163,00eecaad-e8b7-46ca-88a2-ceab1705b32e,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-06-11T15:37:08.392529,,,,,,
164,00eecaad-e8b7-46ca-88a2-ceab1705b32e,3,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-06-11T15:38:47.100032,,,,,,
165,00eecaad-e8b7-46ca-88a2-ceab1705b32e,4,ai,RESPOSTA COM SOLICITAÇÃO DE INFORMAÇÃO,2026-06-11T15:38:47.100032,,,,,,
166,00eecaad-e8b7-46ca-88a2-ceab1705b32e,5,human,SOLICITAÇÃO DE BLOQUEIO OU CANCELAMENTO,2026-06-11T15:40:37.618320,,,,,,
167,00eecaad-e8b7-46ca-88a2-ceab1705b32e,99999,System,END-DIALOGUE-SYSTEM,2026-06-11T15:40:37.618320,,,,,,
168,00f629c4-b6c6-48ef-8b40-c96255da39bd,-1,System,START-DIALOGUE-SYSTEM,2026-05-22T18:06:31.259900,,,,,,
169,00f629c4-b6c6-48ef-8b40-c96255da39bd,0,ai,APRESENTAÇÃO DO CHATBOT,2026-05-22T18:06:31.259900,,,,,,
170,00f629c4-b6c6-48ef-8b40-c96255da39bd,1,human,SOLICITAÇÃO DE INFORMAÇÃO OU AÇÃO,2026-05-22T18:08:16.669052,,,,,,
171,00f629c4-b6c6-48ef-8b40-c96255da39bd,2,ai,ENCAMINHAMENTO OUTROS CANAIS,2026-05-22T18:08:16.669052,,,,,,
